,"(10, 0)","(10, 5)","(10, 10)","(10, 15)","(10, 20)","(20, 0)","(20, 5)","(20, 10)","(20, 15)","(20, 20)","(30, 0)","(30, 5)","(30, 10)","(30, 15)","(30, 20)","(40, 0)","(40, 5)","(40, 10)","(40, 15)","(40, 20)","(50, 0)","(50, 5)","(50, 10)","(50, 15)","(50, 20)"
0,0.67,0.63,0.5,0.36,0.27,0.33,0.31,0.29,0.25,0.22,0.21,0.21,0.2,0.17,0.17,0.15,0.14,0.14,0.15,0.13,0.11,0.11,0.12,0.12,0.11
0.1,1.51,1.39,1.1,0.82,0.56,0.7,0.66,0.64,0.5,0.42,0.4,0.39,0.38,0.33,0.3,0.27,0.26,0.25,0.25,0.22,0.19,0.19,0.19,0.19,0.17
0.2,2.31,2.14,1.68,1.19,0.82,1.05,1,0.93,0.74,0.6,0.6,0.59,0.55,0.49,0.43,0.39,0.37,0.35,0.34,0.3,0.27,0.27,0.26,0.26,0.23
0.3,3.14,2.92,2.28,1.61,1.08,1.41,1.34,1.22,1,0.81,0.8,0.78,0.72,0.64,0.57,0.5,0.49,0.47,0.44,0.39,0.34,0.34,0.34,0.33,0.29
0.4,3.98,3.7,2.88,2.03,1.34,1.78,1.69,1.52,1.24,0.99,0.99,0.97,0.92,0.8,0.69,0.62,0.61,0.58,0.56,0.49,0.43,0.42,0.41,0.39,0.36
0.5,4.84,4.5,3.5,2.47,1.66,2.14,2.04,1.83,1.49,1.19,1.19,1.17,1.1,0.96,0.84,0.75,0.73,0.7,0.65,0.59,0.51,0.5,0.49,0.47,0.43
0.6,5.7,5.31,4.13,2.91,1.92,2.52,2.4,2.14,1.76,1.4,1.4,1.37,1.28,1.13,0.97,0.87,0.85,0.82,0.76,0.68,0.59,0.58,0.56,0.54,0.5
0.7,6.58,6.11,4.77,3.35,2.21,2.9,2.77,2.45,2.01,1.6,1.6,1.58,1.47,1.29,1.11,0.99,0.98,0.94,0.88,0.78,0.68,0.66,0.64,0.62,0.56
0.8,7.44,6.93,5.39,3.78,2.52,3.28,3.13,2.77,2.27,1.81,1.8,1.78,1.65,1.46,1.25,1.11,1.1,1.05,0.98,0.87,0.75,0.74,0.72,0.69,0.63
0.9,8.33,7.75,6.03,4.23,2.8,3.67,3.5,3.09,2.54,2.01,2.01,1.98,1.85,1.63,1.39,1.26,1.22,1.17,1.09,0.97,0.84,0.82,0.8,0.77,0.69
1,9.22,8.57,6.67,4.68,3.08,4.06,3.87,3.4,2.79,2.22,2.22,2.18,2.03,1.79,1.53,1.38,1.35,1.29,1.21,1.07,0.92,0.91,0.88,0.84,0.77
1.1,10.12,9.42,7.33,5.14,3.36,4.45,4.25,3.73,3.07,2.5,2.43,2.39,2.22,1.96,1.68,1.51,1.47,1.41,1.31,1.18,1.01,0.99,0.96,0.91,0.83
1.2,11.01,10.25,7.97,5.59,3.66,4.84,4.62,4.06,3.34,2.68,2.64,2.59,2.41,2.13,1.82,1.64,1.6,1.54,1.42,1.27,1.09,1.07,1.04,0.99,0.9
1.3,11.91,11.08,8.62,6.04,3.95,5.23,4.99,4.38,3.61,2.88,2.85,2.81,2.61,2.3,1.96,1.76,1.73,1.68,1.53,1.37,1.17,1.16,1.12,1.06,0.97
